trial,prob,p,P,S,alpha,lambda
7,0.7820528198144581,0.4,70,0,2,0.5
8,0.8225083841800438,0.4,70,0,2,0.5
9,0.8552089794570779,0.4,70,0,2,0.5
10,0.8818443039067433,0.4,70,0,2,0.5
11,0.9036381714156937,0.4,70,0,2,0.5
12,0.9214948136324301,0.4,70,0,2,0.5
13,0.9361110472107972,0.4,70,0,2,0.5
14,0.9480485739547064,0.4,70,0,2,0.5
15,0.9577747947979564,0.4,70,0,2,0.5
16,0.965683856841608,0.4,70,0,2,0.5
17,0.9721076666340824,0.4,70,0,2,0.5
18,0.9773230672494871,0.4,70,0,2,0.5
19,0.9815582305141533,0.4,70,0,2,0.5
20,0.9849992286337875,0.4,70,0,2,0.5
21,0.9877966929931741,0.4,70,0,2,0.5
22,0.9900721339924692,0.4,70,0,2,0.5
23,0.9919235478222275,0.4,70,0,2,0.5
24,0.9934301225633309,0.4,70,0,2,0.5
25,0.994656034112747,0.4,70,0,2,0.5
26,0.9956534364680109,0.4,70,0,2,0.5
27,0.9964647977623984,0.4,70,0,2,0.5
28,0.997124732793668,0.4,70,0,2,0.5
29,0.9976614578646418,0.4,70,0,2,0.5
30,0.9980979622808918,0.4,70,0,2,0.5
31,0.9984529628857108,0.4,70,0,2,0.5
32,0.998741687309422,0.4,70,0,2,0.5
33,0.9989765180683572,0.4,70,0,2,0.5
34,0.9991675214924708,0.4,70,0,2,0.5
35,0.9993228806614146,0.4,70,0,2,0.5
36,0.999449248492052,0.4,70,0,2,0.5
37,0.9995520348555508,0.4,70,0,2,0.5
38,0.999635639626986,0.4,70,0,2,0.5
39,0.9997036417275135,0.4,70,0,2,0.5
40,0.9997589525098437,0.4,70,0,2,0.5
41,0.9998039403096208,0.4,70,0,2,0.5
42,0.9998405316755262,0.4,70,0,2,0.5
43,0.9998702937081686,0.4,70,0,2,0.5
44,0.9998945010656207,0.4,70,0,2,0.5
45,0.999914190500928,0.4,70,0,2,0.5
46,0.9999302052490936,0.4,70,0,2,0.5
47,0.9999432311457964,0.4,70,0,2,0.5
48,0.9999538260112313,0.4,70,0,2,0.5
49,0.99996244355015,0.4,70,0,2,0.5
50,0.999969452789041,0.4,70,0,2,0.5
51,0.9999751538829933,0.4,70,0,2,0.5
52,0.9999797909704151,0.4,70,0,2,0.5
53,0.9999835626274545,0.4,70,0,2,0.5
54,0.9999866303708118,0.4,70,0,2,0.5
55,0.9999891255736215,0.4,70,0,2,0.5
56,0.9999911550907696,0.4,70,0,2,0.5
57,0.9999928058345436,0.4,70,0,2,0.5
58,0.9999941484964735,0.4,70,0,2,0.5
59,0.999995240574648,0.4,70,0,2,0.5
60,0.9999961288360741,0.4,70,0,2,0.5
61,0.9999968513194855,0.4,70,0,2,0.5
62,0.9999974389643502,0.4,70,0,2,0.5
