trial,p,M,C,nguesses,prob
52,0.1,16,2,1,0.9275653923541247
53,0.1,16,2,1,0.9305835010060363
54,0.1,16,2,1,0.9356136820925554
55,0.1,16,2,1,0.9366197183098591
56,0.1,16,2,1,0.9396378269617707
57,0.1,16,2,1,0.9416498993963783
58,0.1,16,2,1,0.9426559356136821
59,0.1,16,2,1,0.9456740442655935
60,0.1,16,2,1,0.9486921529175051
61,0.1,16,2,1,0.9507042253521127
62,0.1,16,2,1,0.9537223340040242
63,0.1,16,2,1,0.9567404426559356
64,0.1,16,2,1,0.9607645875251509
65,0.1,16,2,1,0.9637826961770624
66,0.1,16,2,1,0.96579476861167
67,0.1,16,2,1,0.96579476861167
68,0.1,16,2,1,0.9668008048289739
69,0.1,16,2,1,0.9708249496981891
70,0.1,16,2,1,0.9738430583501007
71,0.1,16,2,1,0.9748490945674044
72,0.1,16,2,1,0.9758551307847083
73,0.1,16,2,1,0.9778672032193159
74,0.1,16,2,1,0.9778672032193159
75,0.1,16,2,1,0.9788732394366197
76,0.1,16,2,1,0.9798792756539235
77,0.1,16,2,1,0.9798792756539235
78,0.1,16,2,1,0.9798792756539235
79,0.1,16,2,1,0.9808853118712274
80,0.1,16,2,1,0.9808853118712274
81,0.1,16,2,1,0.9818913480885312
82,0.1,16,2,1,0.9828973843058351
83,0.1,16,2,1,0.9849094567404426
84,0.1,16,2,1,0.9869215291750503
85,0.1,16,2,1,0.9899396378269618
86,0.1,16,2,1,0.9899396378269618
87,0.1,16,2,1,0.9899396378269618
88,0.1,16,2,1,0.9899396378269618
89,0.1,16,2,1,0.9909456740442656
90,0.1,16,2,1,0.9909456740442656
91,0.1,16,2,1,0.9919517102615695
92,0.1,16,2,1,0.993963782696177
93,0.1,16,2,1,0.9949698189134809
94,0.1,16,2,1,0.9949698189134809
95,0.1,16,2,1,0.9959758551307847
96,0.1,16,2,1,0.9959758551307847
97,0.1,16,2,1,0.9979879275653923
98,0.1,16,2,1,0.9989939637826962
99,0.1,16,2,1,0.9989939637826962
100,0.1,16,2,1,1
1,0.3,16,2,1,0
2,0.3,16,2,1,0.151
3,0.3,16,2,1,0.274
4,0.3,16,2,1,0.368
5,0.3,16,2,1,0.474
6,0.3,16,2,1,0.544
7,0.3,16,2,1,0.621
8,0.3,16,2,1,0.662
9,0.3,16,2,1,0.711
10,0.3,16,2,1,0.749
11,0.3,16,2,1,0.779
12,0.3,16,2,1,0.813
13,0.3,16,2,1,0.849
14,0.3,16,2,1,0.87
15,0.3,16,2,1,0.887
16,0.3,16,2,1,0.903
17,0.3,16,2,1,0.918
18,0.3,16,2,1,0.9359999999999999
19,0.3,16,2,1,0.946
20,0.3,16,2,1,0.955
21,0.3,16,2,1,0.963
22,0.3,16,2,1,0.967
23,0.3,16,2,1,0.971
24,0.3,16,2,1,0.972
25,0.3,16,2,1,0.976
26,0.3,16,2,1,0.978
27,0.3,16,2,1,0.985
28,0.3,16,2,1,0.989
29,0.3,16,2,1,0.993
30,0.3,16,2,1,0.994
31,0.3,16,2,1,0.996
32,0.3,16,2,1,0.996
33,0.3,16,2,1,0.996
34,0.3,16,2,1,0.997
35,0.3,16,2,1,0.997
36,0.3,16,2,1,0.998
37,0.3,16,2,1,0.998
38,0.3,16,2,1,0.998
39,0.3,16,2,1,0.998
40,0.3,16,2,1,0.998
41,0.3,16,2,1,0.998
42,0.3,16,2,1,0.998
43,0.3,16,2,1,0.998
44,0.3,16,2,1,0.999
45,0.3,16,2,1,0.999
46,0.3,16,2,1,0.999
47,0.3,16,2,1,0.999
48,0.3,16,2,1,1
49,0.3,16,2,1,1
50,0.3,16,2,1,1
51,0.3,16,2,1,1
52,0.3,16,2,1,1
53,0.3,16,2,1,1
54,0.3,16,2,1,1
55,0.3,16,2,1,1
56,0.3,16,2,1,1
57,0.3,16,2,1,1
58,0.3,16,2,1,1
59,0.3,16,2,1,1
60,0.3,16,2,1,1
61,0.3,16,2,1,1
62,0.3,16,2,1,1
63,0.3,16,2,1,1
64,0.3,16,2,1,1
65,0.3,16,2,1,1
66,0.3,16,2,1,1
67,0.3,16,2,1,1
68,0.3,16,2,1,1
69,0.3,16,2,1,1
70,0.3,16,2,1,1
71,0.3,16,2,1,1
72,0.3,16,2,1,1
73,0.3,16,2,1,1
74,0.3,16,2,1,1
75,0.3,16,2,1,1
76,0.3,16,2,1,1
77,0.3,16,2,1,1
78,0.3,16,2,1,1
79,0.3,16,2,1,1
80,0.3,16,2,1,1
81,0.3,16,2,1,1
82,0.3,16,2,1,1
83,0.3,16,2,1,1
84,0.3,16,2,1,1
85,0.3,16,2,1,1
86,0.3,16,2,1,1
87,0.3,16,2,1,1
88,0.3,16,2,1,1
89,0.3,16,2,1,1
90,0.3,16,2,1,1
91,0.3,16,2,1,1
92,0.3,16,2,1,1
93,0.3,16,2,1,1
94,0.3,16,2,1,1
95,0.3,16,2,1,1
96,0.3,16,2,1,1
97,0.3,16,2,1,1
98,0.3,16,2,1,1
99,0.3,16,2,1,1
100,0.3,16,2,1,1
1,0.5,16,2,1,0
2,0.5,16,2,1,0.232
3,0.5,16,2,1,0.42200000000000004
4,0.5,16,2,1,0.5680000000000001
5,0.5,16,2,1,0.663
6,0.5,16,2,1,0.743
7,0.5,16,2,1,0.802
8,0.5,16,2,1,0.844
9,0.5,16,2,1,0.883
10,0.5,16,2,1,0.908
11,0.5,16,2,1,0.927
12,0.5,16,2,1,0.9410000000000001
13,0.5,16,2,1,0.961
14,0.5,16,2,1,0.967
15,0.5,16,2,1,0.972
16,0.5,16,2,1,0.98
17,0.5,16,2,1,0.983
18,0.5,16,2,1,0.988
19,0.5,16,2,1,0.992
20,0.5,16,2,1,0.994
21,0.5,16,2,1,0.996
22,0.5,16,2,1,0.996
23,0.5,16,2,1,0.997
24,0.5,16,2,1,0.997
25,0.5,16,2,1,0.998
26,0.5,16,2,1,0.998
27,0.5,16,2,1,1
28,0.5,16,2,1,1
29,0.5,16,2,1,1
30,0.5,16,2,1,1
31,0.5,16,2,1,1
32,0.5,16,2,1,1
33,0.5,16,2,1,1
34,0.5,16,2,1,1
35,0.5,16,2,1,1
36,0.5,16,2,1,1
37,0.5,16,2,1,1
38,0.5,16,2,1,1
39,0.5,16,2,1,1
40,0.5,16,2,1,1
41,0.5,16,2,1,1
42,0.5,16,2,1,1
43,0.5,16,2,1,1
44,0.5,16,2,1,1
45,0.5,16,2,1,1
46,0.5,16,2,1,1
47,0.5,16,2,1,1
48,0.5,16,2,1,1
49,0.5,16,2,1,1
50,0.5,16,2,1,1
51,0.5,16,2,1,1
52,0.5,16,2,1,1
53,0.5,16,2,1,1
54,0.5,16,2,1,1
55,0.5,16,2,1,1
56,0.5,16,2,1,1
57,0.5,16,2,1,1
58,0.5,16,2,1,1
59,0.5,16,2,1,1
60,0.5,16,2,1,1
61,0.5,16,2,1,1
62,0.5,16,2,1,1
63,0.5,16,2,1,1
64,0.5,16,2,1,1
65,0.5,16,2,1,1
66,0.5,16,2,1,1
67,0.5,16,2,1,1
68,0.5,16,2,1,1
